2025-08-21 20:30:38 [INFO]: Loading Overrides...
2025-08-21 20:30:38 [INFO]: Loading World Types...
2025-08-21 20:30:38 [INFO]: - World Type for 'world' set to 'NORMAL'
2025-08-21 20:30:38 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2025-08-21 20:30:38 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2025-08-21 20:30:38 [INFO]: Loading Defaults...
2025-08-21 20:30:38 [INFO]: Loading Custom Worlds...
2025-08-21 20:30:38 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2025-08-21 20:30:38 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2025-08-21 20:30:38 [SEVERE]: The particle 'EXPLOSION_NORMAL' created a fatal error when loading particles! Your MC version isn't supported!
2025-08-21 20:30:38 [INFO]: Database COOLDOWN:world configured and loaded!
2025-08-21 20:30:38 [INFO]: Database COOLDOWN:world_nether configured and loaded!
2025-08-21 20:30:38 [INFO]: Database COOLDOWN:world_the_end configured and loaded!
2025-08-21 20:30:38 [INFO]: Database QUEUE:Queue configured and loaded!
2025-08-21 20:30:38 [INFO]: Database PLAYERS:Players configured and loaded!
2025-08-21 20:30:38 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2025-08-21 20:33:30 [INFO]: Queue position generated: id= default_world_nether, database_ID= 66, location= x: 8809, y: 34, z: -7244, world: world_nether
2025-08-21 20:33:31 [INFO]: Queue position generated: id= default_world_nether, database_ID= 67, location= x: -2890, y: 56, z: -5034, world: world_nether
2025-08-21 20:33:35 [INFO]: Queue position generated: id= default_world_nether, database_ID= 68, location= x: -3127, y: 65, z: -9582, world: world_nether
2025-08-21 20:33:36 [INFO]: Queue position generated: id= default_world_nether, database_ID= 69, location= x: -7446, y: 58, z: 9357, world: world_nether
2025-08-21 20:33:38 [INFO]: Queue position generated: id= default_world_nether, database_ID= 70, location= x: -5031, y: 71, z: -9330, world: world_nether
2025-08-21 20:33:39 [INFO]: Queue position generated: id= default_world_nether, database_ID= 71, location= x: 7208, y: 63, z: 3455, world: world_nether
2025-08-21 20:33:42 [INFO]: Queue position generated: id= default_world_nether, database_ID= 72, location= x: 4049, y: 45, z: -1541, world: world_nether
2025-08-21 20:33:44 [INFO]: Queue position generated: id= default_world_nether, database_ID= 73, location= x: -1464, y: 43, z: -9836, world: world_nether
2025-08-21 20:33:45 [INFO]: Queue position generated: id= default_world_nether, database_ID= 74, location= x: 3310, y: 92, z: 2256, world: world_nether
2025-08-21 20:33:48 [INFO]: Queue position generated: id= default_world_nether, database_ID= 75, location= x: -8501, y: 66, z: -5464, world: world_nether
2025-08-21 20:33:50 [INFO]: Queue position generated: id= default_world_nether, database_ID= 76, location= x: -7002, y: 53, z: 5343, world: world_nether
2025-08-21 20:33:51 [INFO]: Queue position generated: id= default_world_nether, database_ID= 77, location= x: -8500, y: 38, z: -3268, world: world_nether
2025-08-21 20:33:52 [INFO]: Max queue reached for default_world_nether (amount: 32) lastCount: 1
2025-08-21 20:33:52 [INFO]: Queueing paused, max queue limit reached!
